date,base,part_id,on_hand,on_order,expected_days_to_arrival
2026-01-08,BASE_A,P_0001,5,1,23
2026-01-08,BASE_A,P_0002,0,2,23
2026-01-08,BASE_A,P_0003,4,1,15
2026-01-08,BASE_A,P_0004,9,0,0
2026-01-08,BASE_A,P_0005,3,0,0
2026-01-08,BASE_A,P_0006,4,0,0
2026-01-08,BASE_A,P_0007,5,0,0
2026-01-08,BASE_A,P_0008,5,0,0
2026-01-08,BASE_A,P_0009,4,1,23
2026-01-08,BASE_A,P_0010,4,0,0
2026-01-08,BASE_A,P_0011,3,0,0
2026-01-08,BASE_A,P_0012,1,0,0
2026-01-08,BASE_A,P_0013,4,0,0
2026-01-08,BASE_A,P_0014,5,2,41
2026-01-08,BASE_A,P_0015,6,0,0
2026-01-08,BASE_A,P_0016,7,1,38
2026-01-08,BASE_A,P_0017,6,0,0
2026-01-08,BASE_A,P_0018,4,0,0
2026-01-08,BASE_A,P_0019,6,0,0
2026-01-08,BASE_A,P_0020,2,0,0
2026-01-08,BASE_A,P_0021,4,1,22
2026-01-08,BASE_A,P_0022,5,0,0
2026-01-08,BASE_A,P_0023,7,2,32
2026-01-08,BASE_A,P_0024,1,2,6
2026-01-08,BASE_A,P_0025,11,2,18
2026-01-08,BASE_A,P_0026,8,0,0
2026-01-08,BASE_A,P_0027,3,1,37
2026-01-08,BASE_A,P_0028,0,0,0
2026-01-08,BASE_A,P_0029,6,0,0
2026-01-08,BASE_A,P_0030,3,0,0
2026-01-08,BASE_A,P_0031,3,1,38
2026-01-08,BASE_A,P_0032,4,0,0
2026-01-08,BASE_A,P_0033,3,2,20
2026-01-08,BASE_A,P_0034,3,0,0
2026-01-08,BASE_A,P_0035,11,0,0
2026-01-08,BASE_A,P_0036,2,0,0
2026-01-08,BASE_A,P_0037,5,0,0
2026-01-08,BASE_A,P_0038,3,1,22
2026-01-08,BASE_A,P_0039,9,0,0
2026-01-08,BASE_A,P_0040,8,1,18
2026-01-08,BASE_A,P_0041,5,0,0
