date,aircraft_id,unit_id,base,airframe_age_years,role,status_start,flight_hours,mission_intensity,environment_stress,flight_hours_sum_7d,mission_intensity_mean_7d,environment_stress_mean_7d,flight_hours_sum_14d,mission_intensity_mean_14d,environment_stress_mean_14d,flight_hours_sum_30d,mission_intensity_mean_30d,environment_stress_mean_30d,failures_count_sum_7d,failures_count_sum_14d,failures_count_sum_30d,down_events_sum_7d,down_events_sum_14d,down_events_sum_30d,repair_hours_sum_7d,repair_hours_sum_14d,repair_hours_sum_30d,wait_parts_hours_sum_7d,wait_parts_hours_sum_14d,wait_parts_hours_sum_30d,wait_maint_hours_sum_7d,wait_maint_hours_sum_14d,wait_maint_hours_sum_30d,down_hours_sum_7d,down_hours_sum_14d,down_hours_sum_30d,downtime_next_14d_hours,downtime_next_30d_hours
2026-01-08,AC_0001,UNIT_01,BASE_C,8.2,TRAIN,FMC,0.48,0.152,0.303,0.48,0.152,0.303,0.48,0.152,0.303,0.48,0.152,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0002,UNIT_01,BASE_A,17.6,TRAIN,PMC,0.81,0.537,0.299,0.81,0.537,0.299,0.81,0.537,0.299,0.81,0.537,0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0003,UNIT_03,BASE_A,8.4,STRIKE,PMC,0.89,0.445,0.156,0.89,0.445,0.156,0.89,0.445,0.156,0.89,0.445,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0004,UNIT_04,BASE_B,14.9,STRIKE,FMC,0.8,0.552,0.478,0.8,0.552,0.478,0.8,0.552,0.478,0.8,0.552,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0005,UNIT_01,BASE_B,1.6,TRAIN,FMC,1.26,0.57,0.452,1.26,0.57,0.452,1.26,0.57,0.452,1.26,0.57,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0006,UNIT_01,BASE_C,6.7,TRAIN,PMC,1.08,0.514,0.283,1.08,0.514,0.283,1.08,0.514,0.283,1.08,0.514,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0007,UNIT_03,BASE_C,3.9,ISR,FMC,1.82,0.522,0.183,1.82,0.522,0.183,1.82,0.522,0.183,1.82,0.522,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0008,UNIT_03,BASE_A,12.5,TRAIN,PMC,0.01,0.716,0.211,0.01,0.716,0.211,0.01,0.716,0.211,0.01,0.716,0.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0009,UNIT_02,BASE_A,7.0,ISR,FMC,1.43,0.602,0.418,1.43,0.602,0.418,1.43,0.602,0.418,1.43,0.602,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0010,UNIT_02,BASE_A,8.8,STRIKE,FMC,1.27,0.66,0.0,1.27,0.66,0.0,1.27,0.66,0.0,1.27,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0011,UNIT_04,BASE_B,15.1,TRAIN,FMC,0.51,0.456,0.39,0.51,0.456,0.39,0.51,0.456,0.39,0.51,0.456,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0012,UNIT_04,BASE_C,14.6,STRIKE,FMC,1.55,0.617,0.093,1.55,0.617,0.093,1.55,0.617,0.093,1.55,0.617,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0013,UNIT_01,BASE_C,2.9,STRIKE,FMC,0.85,0.3,0.462,0.85,0.3,0.462,0.85,0.3,0.462,0.85,0.3,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0014,UNIT_04,BASE_C,12.1,TRAIN,PMC,0.45,0.555,0.29,0.45,0.555,0.29,0.45,0.555,0.29,0.45,0.555,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0015,UNIT_03,BASE_B,10.5,STRIKE,FMC,1.01,0.727,0.332,1.01,0.727,0.332,1.01,0.727,0.332,1.01,0.727,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0016,UNIT_02,BASE_C,8.7,ISR,PMC,0.17,0.111,0.244,0.17,0.111,0.244,0.17,0.111,0.244,0.17,0.111,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0017,UNIT_03,BASE_B,10.2,ISR,FMC,1.02,0.197,0.327,1.02,0.197,0.327,1.02,0.197,0.327,1.02,0.197,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0018,UNIT_03,BASE_A,8.1,STRIKE,FMC,1.71,0.014,0.0,1.71,0.014,0.0,1.71,0.014,0.0,1.71,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0019,UNIT_04,BASE_C,4.6,STRIKE,FMC,1.11,0.695,0.265,1.11,0.695,0.265,1.11,0.695,0.265,1.11,0.695,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,AC_0020,UNIT_04,BASE_A,12.1,ISR,PMC,1.45,0.289,0.444,1.45,0.289,0.444,1.45,0.289,0.444,1.45,0.289,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
